"reference_id","display_name","current_hito_coverage","nearest_current_hito_identity","exact_pattern","watch_executable_shape","primary_stimulus","best_goal_families","safe_runner_levels","typical_phase","use_when","avoid_when","why_it_matters","why_missing_or_underused_now","recommended_backend_priority"
"long_intervals_5x1500m_500m_jog","Long intervals 5 x 1500m / 500m jog","exact_missing","intervals","15-20 min warmup; 5 x 1500m controlled-fast; 500m easy jog after each; 10-15 min cooldown","distance repeats with explicit recovery distance","10K-specific speed endurance; high aerobic power; repeatable race-like rhythm","10K; Half Marathon high-support","runs_a_lot; professional_competitive","Build; Specific","runner already handles one hard session well and can recover after long runs; coach wants strong 10K or sharp half-marathon stimulus","beginner_new_runner; sometimes_runs; conservative Marathon Base; low-support runners","This is the closest Hito analogue to the uploaded Suunto session and is a real performance workout, not a generic interval day","Current Hito intervals are broader and safer: roughly 400m-1000m repeats, with no dedicated long-interval identity for 1500m repeats","high"
"long_intervals_4x1600m_2min_jog","Long intervals 4 x 1600m / 2 min jog","exact_missing","intervals","15 min warmup; 4 x 1600m controlled-fast; 2 min easy jog; 10 min cooldown","distance repeats with explicit recovery time","10K strength and repeatable threshold-adjacent work","10K; Half Marathon high-support","runs_a_lot; professional_competitive","Build; Specific","runner needs durable race-rhythm support without going full VO2 style","beginner_new_runner; sometimes_runs weak-support; early-base Marathon Base","This is a strong bridge between threshold and classic 10K intervals","Hito has a generic long-interval concept but no dedicated mile-repeat or near-mile specific identity","medium"
"cruise_intervals_4x2k_2min_jog","Cruise intervals 4 x 2km / 2 min jog","exact_missing","threshold","15-20 min warmup; 4 x 2km controlled threshold-like; 2 min easy jog; 10-15 min cooldown","distance repeats with explicit recovery time","Threshold durability; half-marathon specific aerobic strength","Half Marathon; Marathon Base advanced-safe","runs_a_lot; professional_competitive","Build; Specific","runner is preparing for Half and needs longer threshold durability than short tempo blocks","10K beginner paths; low-support Marathon Base; any runner without stable volume","This is much more half-specific than generic tempo repeats","Current Hito threshold work is time-based and compact; it does not yet express long cruise-interval variants","high"
"threshold_3x3k_1k_float","Threshold 3 x 3km / 1km float","exact_missing","threshold","20 min warmup; 3 x 3km threshold-like; 1km controlled float between reps; 10-15 min cooldown","distance repeats with float recoveries","High-end threshold durability and controlled clearance under fatigue","Half Marathon; Marathon Base strong-support","professional_competitive","Specific","experienced runner can handle floats and needs long sustained quality without pure race pace","all beginner and mid-support plans; conservative load contexts","This is a hallmark advanced endurance workout and a much richer identity than generic threshold blocks","Hito currently avoids float recoveries and keeps recovery explicit/easy for safety and simplicity","medium"
"broken_tempo_3x12min_2min_jog","Broken tempo 3 x 12 min / 2 min jog","partial_generic_tempo","tempo","15 min warmup; 3 x 12 min controlled tempo; 2 min easy jog; 10 min cooldown","time repeats with explicit recovery time","Tempo durability; safe aerobic strength progression","10K; Half Marathon; Marathon Base","sometimes_runs strong-support; runs_a_lot; professional_competitive","Build","runner is beyond beginner adaptation and needs more durable tempo than 2 x 8-10 min","true beginner plans; heavy conservative contexts if recovery is weak","This is a practical progression from the current Hito tempo template and stays safer than sharper interval work","Hito tempo exists, but it is still generic and not expressed as a richer progression ladder with named variants","high"
"ten_k_specific_6x1k_200m_jog","10K specific 6 x 1km / 200m jog","partial_generic_intervals","intervals","15 min warmup; 6 x 1000m controlled-fast; 200m easy jog; 10 min cooldown","distance repeats with explicit recovery distance","Classic 10K-specific repeatability and rhythm","10K","runs_a_lot; professional_competitive","Build; Specific","runner is on a real 10K path and needs more specific rhythm than short 400m reps","Half beginner scenarios; Marathon Base; low-support runners","This is one of the most recognizable and executable 10K workouts","Hito can approximate it through generic intervals, but does not own it as a dedicated 10K-specific identity","high"
"ten_k_specific_5x1200m_200m_jog","10K specific 5 x 1200m / 200m jog","exact_missing","intervals","15 min warmup; 5 x 1200m controlled-fast; 200m easy jog; 10 min cooldown","distance repeats with explicit recovery distance","10K-specific strength with slightly longer reps than 1km","10K","runs_a_lot; professional_competitive","Specific","runner needs a step up from 1km reps without jumping to 1500m repeats","beginners; low-support plans; fatigue-heavy weeks","This is a useful middle rung between generic intervals and very demanding long intervals","Current library jumps from broad intervals to general long intervals without enough named middle-distance repeat variants","medium"
"vo2max_5x1k_2min_jog","VO2-style 5 x 1km / 2 min jog","exact_missing","intervals","15-20 min warmup; 5 x 1000m hard-controlled; 2 min easy jog; 10-15 min cooldown","distance repeats with explicit recovery time","High aerobic power; sharper 5K/10K development","10K only in future advanced track","professional_competitive","Specific; Sharpening","runner is already robust and the product intentionally supports a sharper performance track","current deterministic normal path; beginner/recreational runners; Marathon Base; normal Half completion flows","This is a real quality session but should remain out of broad v1 distribution","Hito correctly avoids this today because the normal engine is intentionally conservative and not an advanced two-quality system","low"
"hill_long_repeats_8x90sec_uphill_jog_down","Hill strength 8 x 90 sec uphill / jog down","exact_missing","hills","15 min warmup; 8 x 90 sec uphill; easy jog or walk/jog down; 10 min cooldown","time repeats with explicit downhill or jog recoveries","Strength endurance; climbing economy; mechanics under force","10K high-support; Half Marathon; trail; mountain","runs_a_lot; professional_competitive","Build","runner needs a richer hill session than short 45 sec repeat work","flat-only plans with no hill access; beginner runners; recovery-compromised weeks","This is a more serious hill workout than the current short-repeat template and is common in strong plans","Hito hills are currently a single short-repeat pattern and do not express longer hill-strength variants","medium"
"half_specific_3x3k_90sec_jog","Half-specific 3 x 3km / 90 sec jog","exact_missing","threshold","15-20 min warmup; 3 x 3km controlled threshold-half specific; 90 sec easy jog; 10-15 min cooldown","distance repeats with short explicit recovery","Half-marathon durability and pace resistance without fake pace targets","Half Marathon","runs_a_lot; professional_competitive","Specific","runner needs clear half-specific work beyond generic tempo and short intervals","sometimes_runs half with weaker support; beginner half contexts","This would solve the current Hito gap where supported Half can still feel too generic","Current Hito Half library is improving but still leans too heavily on generic tempo or compact threshold blocks","high"
"marathon_steady_blocks_3x5k_1k_easy","Marathon steady blocks 3 x 5km / 1km easy","exact_missing","marathon_base_endpoint","20 min warmup; 3 x 5km steady-durable; 1km easy between blocks; 10-15 min cooldown","distance blocks with explicit easy resets","Marathon-specific steady durability without pretending race-pace truth","Marathon Base future high-support extension","professional_competitive","Late Build; Specific in future Marathon family, not current Marathon Base v1","experienced runner has strong support and the product later opens a true marathon-specific family","current Marathon Base v1; beginners; low-support target-time requests","This is a real marathon-specific workout identity, but not appropriate for current base-only Hito promise","Hito Marathon Base is intentionally not a full Marathon training family yet, so this should remain reference-only for now","low"
"progression_long_run_last_30min_steady","Progression long run with last 30 min steady","partial_missing_long_run_specialty","long_run","10 min opener; long easy main block; final 30 min steady-durable; 5-10 min easy cooldown","time-based long run with explicit finish block","Long-run specificity; fatigue resistance; steady finish control","Half Marathon; Marathon future full family","runs_a_lot; professional_competitive","Late Build; Specific","runner already tolerates long easy volume and needs a more expressive long-run finish","beginner_new_runner; conservative heavy contexts; early-base weeks","This is a much richer long-run identity than anonymous long aerobic time","Current Hito long runs are better than before, but finish-specific long-run variants are still underrepresented","high"
"alternating_threshold_2k_1k_x4","Alternating 2km threshold / 1km steady x4","exact_missing","threshold","20 min warmup; 4 rounds of 2km threshold-like plus 1km steady float; 10-15 min cooldown","alternating distance blocks with float structure","Advanced aerobic durability and pace-change control","Half Marathon; Marathon future advanced-safe family","professional_competitive","Specific","runner is advanced enough to use alternating blocks without breaking form or overreaching","normal deterministic v1 path; beginners; low-support runners","This is a high-quality endurance workout and a clear example of the kind of rich session Hito does not yet express","It is too advanced and too nuanced for the current one-touch conservative engine, but useful as future source truth","low"
