contract_type,family,source_token_or_marker,applies_to_phase,days_per_week,runner_level,resolution_priority,output_behavior,canonical_output_identity,fallback_output_identity,fallback_condition,segment_anatomy_source,review_metadata_behavior,quality_gate_binding,counts_as_specific_touch,notes
weekly_slot_alias,all_supported_families,rest_or_floating,any,2-5,all,1,non_running_slot,rest_day,rest_day,no_fallback,none,none,none,no,"builder may place fixed rest or floating non-running slot here; never resolves to workout identity"
weekly_slot_alias,all_supported_families,support_easy_or_recovery,base_or_cutback,2-5,all,1,planned_workout,recovery_jog,easy_aerobic_run,unless_after_long_run_or_cutback,preset-segment-anatomy-table.csv,none,post_long_run_recovery_protection,no,"choose recovery_jog after any long-run slot or in cutback week; otherwise easy_aerobic_run"
weekly_slot_alias,all_supported_families,easy_recovery_support,completion_or_light_week,2-5,all,1,planned_workout,easy_aerobic_run,recovery_jog,if_prior_long_run_or_heavier_outcome,preset-segment-anatomy-table.csv,none,segment_anatomy_complete,no,"default to easy_aerobic_run unless prior slot was long or final-outcome load was larger than planned"
weekly_slot_alias,10k_foundation,support_steady_or_strides,base,3-5,all,1,planned_workout,easy_run_with_strides,easy_aerobic_run,if_strides_not_supported_this_week,preset-segment-anatomy-table.csv,none,segment_anatomy_complete,no,"10K presets should not invent steady filler here; strides are the canonical rich support mapping"
weekly_slot_alias,10k_foundation,progression_run_or_easy_run_with_strides,progression_rhythm,2-5,new_to_running_or_beginner,1,planned_workout,easy_run_with_strides,progression_run,after_two_stable_base_weeks,preset-segment-anatomy-table.csv,none,tenk_lowfreq_development_motif,yes,"choose easy_run_with_strides until at least two stable base weeks exist; then progression_run is allowed"
weekly_slot_alias,10k_foundation,progression_run_or_easy_run_with_strides,progression_rhythm,2-5,running_regularly_or_performance_focused,1,planned_workout,progression_run,easy_run_with_strides,if_conservatism_remains_high,preset-segment-anatomy-table.csv,none,tenk_lowfreq_development_motif,yes,"regular runners default to progression unless conservatism remains high"
weekly_slot_alias,10k_foundation,progression_run_or_time_intervals,progression_rhythm,3-5,all,1,planned_workout,progression_run,time_intervals,after_progression_tolerance_proven,preset-segment-anatomy-table.csv,none,tenk_specificity_visibility,yes,"time_intervals require prior progression tolerance and may not be the first development identity"
weekly_slot_alias,10k_foundation,recovery_jog_or_easy_aerobic_run,cutback_recovery,2,all,1,planned_workout,recovery_jog,easy_aerobic_run,unless_after_long_run_or_cutback,preset-segment-anatomy-table.csv,none,post_long_run_recovery_protection,no,"exact alias used by 2-day 10K cutback week; recovery_jog is primary and easy_aerobic_run is the explicit fallback"
weekly_slot_alias,10k_foundation,specific_10k_touch,progression_rhythm,4-5,beginner,1,planned_workout,progression_run,controlled_tempo_session,if_progression_already_repeated,preset-segment-anatomy-table.csv,none,tenk_specificity_visibility,yes,"beginner 10K defaults to progression before sharper rhythm"
weekly_slot_alias,10k_foundation,specific_10k_touch,progression_rhythm,4-5,running_regularly_or_performance_focused,1,planned_workout,10k_rhythm_intervals,controlled_tempo_session,after_clear_support_base,preset-segment-anatomy-table.csv,none,tenk_specificity_visibility,yes,"10K rhythm intervals are preferred only after a clear support base exists"
weekly_slot_alias,10k_foundation,light_support_or_strides,completion,4-5,all,1,planned_workout,easy_run_with_strides,easy_aerobic_run,if_endpoint_week_needs_lighter_support,preset-segment-anatomy-table.csv,none,segment_anatomy_complete,no,"light support remains light in endpoint week"
weekly_slot_alias,10k_foundation,10k_completion_or_checkpoint,completion,2-5,all,1,planned_workout_plus_review_metadata,tenk_completion_or_checkpoint,progression_run,if_checkpoint_not_due_this_week,preset-segment-anatomy-table.csv,attach_final_outcome_metadata,tenk_final_outcome_visible,yes,"slot token resolves to canonical identity tenk_completion_or_checkpoint"
weekly_slot_alias,10k_foundation,cutback_or_short_long_support,completion,4-5,all,1,planned_workout,cutback_long_run,long_aerobic_run,if_endpoint_week_still_needs_reduced_long_load,preset-segment-anatomy-table.csv,none,cutback_visibility,no,"use cutback_long_run if endpoint week still needs reduced long support; otherwise shortened long_aerobic_run"
weekly_slot_alias,half_marathon_balanced,controlled_tempo_or_progression,progression_tempo_or_half_specificity,2-5,all,1,planned_workout,progression_run,controlled_tempo_session,if_support_is_fuller_and_conservatism_lower,preset-segment-anatomy-table.csv,none,half_specific_identity_presence,yes,"2-day and high-conservatism variants default to progression; fuller support variants may use controlled tempo"
weekly_slot_alias,half_marathon_balanced,long_run_with_or_without_steady_finish,half_specificity,2-5,all,1,planned_workout,long_aerobic_run,long_run_with_steady_finish,if_no_other_specific_touch_and_durability_stable,preset-segment-anatomy-table.csv,none,half_specific_identity_presence,yes,"choose long_run_with_steady_finish only if no other bigger specific touch exists that week and durability is stable"
weekly_slot_alias,half_marathon_balanced,half_specific_midweek_touch,threshold_durability,4-5,all,1,planned_workout,controlled_tempo_session,half_marathon_threshold_durability,only_in_stronger_later_variants,preset-segment-anatomy-table.csv,none,half_threshold_or_equivalent,yes,"controlled_tempo_session is the default conservative mapping; threshold durability is allowed only in stronger later variants"
weekly_slot_alias,half_marathon_balanced,long_aerobic_run_or_steady_finish,threshold_durability,4-5,all,1,planned_workout,long_aerobic_run,long_run_with_steady_finish,if_midweek_touch_is_lighter,preset-segment-anatomy-table.csv,none,no_two_quality_week,yes,"steady-finish long run is allowed only when midweek specific touch resolves to the lighter option"
weekly_slot_alias,half_marathon_balanced,light_controlled_specificity,completion,4-5,all,1,planned_workout,controlled_tempo_session,progression_run,if_tempo_would_be_too_heavy,preset-segment-anatomy-table.csv,attach_light_readiness_metadata,half_readiness_marker,yes,"endpoint week uses shortened controlled specificity, not a heavy threshold session"
weekly_slot_alias,half_marathon_balanced,readiness_marker_or_long_run_specificity,completion,2-5,all,1,planned_workout_plus_review_metadata,half_readiness_marker,long_run_with_steady_finish,only_if_marker_already_exists_earlier,preset-segment-anatomy-table.csv,attach_final_outcome_metadata,half_readiness_marker,yes,"default to half_readiness_marker; fallback to long_run_with_steady_finish only when readiness marker already exists earlier in final block"
weekly_slot_alias,half_marathon_balanced,support_easy,completion,2-5,all,1,planned_workout,easy_aerobic_run,recovery_jog,if_final_block_load_is_heavier_than_expected,preset-segment-anatomy-table.csv,none,segment_anatomy_complete,no,"support slot remains easy in readiness week"
weekly_slot_alias,marathon_base,steady_aerobic_run_or_recovery_jog,base,3-5,all,1,planned_workout,steady_aerobic_run,recovery_jog,if_next_running_slot_after_long_run,preset-segment-anatomy-table.csv,none,post_long_run_recovery_protection,no,"use recovery_jog if this is the next running slot after a long run; otherwise steady_aerobic_run"
weekly_slot_alias,marathon_base,support_easy,base_or_endpoint,3-5,all,1,planned_workout,easy_aerobic_run,recovery_jog,if_endpoint_or_recent_long_run_needs_more_recovery,preset-segment-anatomy-table.csv,none,segment_anatomy_complete,no,"easy support default for marathon base"
weekly_slot_alias,marathon_base,light_marathon_steady_or_support,base_endpoint,4-5,all,1,planned_workout,steady_aerobic_run,easy_aerobic_run,if_steady_would_overload_endpoint_week,preset-segment-anatomy-table.csv,attach_base_endpoint_metadata,marathon_base_endpoint,no,"endpoint week may include short steady support but must not look like peak taper work"
weekly_slot_alias,marathon_base,base_endpoint_long_run_or_shorter_specific_long,base_endpoint,4-5,all,1,planned_workout_plus_review_metadata,base_endpoint_marker,long_run_with_steady_finish,only_if_endpoint_metadata_remains_explicit,preset-segment-anatomy-table.csv,attach_final_outcome_metadata,marathon_base_endpoint,yes,"default endpoint identity is base_endpoint_marker; fallback long specificity is allowed only when endpoint metadata remains explicit"
final_outcome_marker,10k_foundation,tenk_completion_or_checkpoint,completion,2-5,all,1,planned_workout_plus_review_metadata,tenk_completion_or_checkpoint,none,no_fallback,preset-segment-anatomy-table.csv,required_review_and_export_visibility,tenk_final_outcome_visible,yes,"canonical 10K endpoint identity with row-level anatomy"
final_outcome_marker,half_marathon_balanced,half_readiness_marker,completion,2-5,all,1,planned_workout_plus_review_metadata,half_readiness_marker,none,no_fallback,preset-segment-anatomy-table.csv,required_review_and_export_visibility,half_readiness_marker,yes,"canonical half-readiness endpoint identity with row-level anatomy"
final_outcome_marker,marathon_base,base_endpoint_marker,base_endpoint,3-5,all,1,planned_workout_plus_review_metadata,base_endpoint_marker,none,no_fallback,preset-segment-anatomy-table.csv,required_review_and_export_visibility,marathon_base_endpoint,yes,"canonical marathon base endpoint identity with row-level anatomy"
inheritance_rule,10k_foundation,performance_focused_inherits_running_regularly,all_supported_phases,2-5,performance_focused,1,inherited_template,running_regularly,none,no_fallback,phase_and_progression_tables,attach_conservative_base_only_contract,none,no,"performance-focused 10K reuses running_regularly phase/archetype math unless a stricter family-specific row overrides it"
inheritance_rule,half_marathon_balanced,performance_focused_inherits_running_regularly,all_supported_phases,2-5,performance_focused,1,inherited_template,running_regularly,none,no_fallback,phase_and_progression_tables,attach_conservative_base_only_contract,none,no,"performance-focused Half reuses running_regularly phase/archetype math unless a stricter family-specific row overrides it"
inheritance_rule,marathon_base,performance_focused_inherits_running_regularly,all_supported_phases,3-5,performance_focused,1,inherited_template,running_regularly,none,no_fallback,phase_and_progression_tables,attach_conservative_base_only_contract,none,no,"performance-focused Marathon may reuse running_regularly templates but must keep base-only endpoint contract"
