family,runner_level,days_per_week,duration_min_weeks,duration_max_weeks,conservatism,phase_sequence,phase_name,phase_order,phase_min_weeks,phase_target_ratio,required,phase_goal,entry_condition,exit_marker
10k_foundation,new_to_running,2-3,14,24,high,10k_new_lowfreq,adaptation,1,3,0.2,yes,"establish repeatable rhythm and safe support anatomy","runner is new and frequency is constrained","runner completes repeated easy and long support weeks without overload pattern"
10k_foundation,new_to_running,2-3,14,24,high,10k_new_lowfreq,base,2,4,0.28,yes,"build easy-volume tolerance and long-run continuity","adaptation weeks complete","long run becomes routine and recovery remains stable"
10k_foundation,new_to_running,2-3,14,24,high,10k_new_lowfreq,progression_rhythm,3,3,0.18,yes,"introduce gentle development through strides or progression","base tolerance established","at least one repeating development motif appears"
10k_foundation,new_to_running,2-3,14,24,high,10k_new_lowfreq,cutback_recovery,4,1,0.08,yes,"protect durability and reset fatigue","after build microcycle","volume visibly reduced and development load softened"
10k_foundation,new_to_running,2-3,14,24,high,10k_new_lowfreq,completion,5,1,0.08,yes,"deliver explicit 10K completion or checkpoint","development motif established","10K-specific endpoint is visible"
10k_foundation,beginner,2-3,12,20,moderate,10k_beginner_lowfreq,base,1,3,0.22,yes,"build consistent aerobic support","runner has some history but needs runway","support rhythm is repeatable"
10k_foundation,beginner,2-3,12,20,moderate,10k_beginner_lowfreq,aerobic_development,2,3,0.22,yes,"add longer easy volume and purposeful support variation","base established","runner tolerates stable long-run growth"
10k_foundation,beginner,2-3,12,20,moderate,10k_beginner_lowfreq,progression_rhythm,3,3,0.18,yes,"add recurring development through progression or rhythm-lite work","aerobic support stable","10K-specific pattern becomes visible"
10k_foundation,beginner,2-3,12,20,moderate,10k_beginner_lowfreq,cutback_recovery,4,1,0.08,yes,"reset fatigue and protect consistency","after development microcycle","reduced-load week is visible"
10k_foundation,beginner,2-3,12,20,moderate,10k_beginner_lowfreq,completion,5,1,0.08,yes,"show explicit 10K completion or test outcome","development motif already present","10K endpoint is explicit"
10k_foundation,beginner,4-5,8,16,baseline,10k_beginner_fullfreq,base,1,2,0.18,yes,"establish aerobic support and recovery rhythm","runner can handle fuller week structure","support pattern stable"
10k_foundation,beginner,4-5,8,16,baseline,10k_beginner_fullfreq,aerobic_development,2,3,0.24,yes,"grow long-run and support-day purpose","base established","aerobic durability rises without extra hard days"
10k_foundation,beginner,4-5,8,16,baseline,10k_beginner_fullfreq,progression_rhythm,3,2,0.18,yes,"add visible 10K development through strides, progression, or rhythm","aerobic durability stable","10K-specific motif appears in multiple weeks"
10k_foundation,beginner,4-5,8,16,baseline,10k_beginner_fullfreq,cutback_recovery,4,1,0.08,yes,"reduce fatigue before endpoint","after development loading","cutback week is visible"
10k_foundation,beginner,4-5,8,16,baseline,10k_beginner_fullfreq,completion,5,1,0.08,yes,"deliver explicit 10K completion or test outcome","specificity already visible","10K endpoint is explicit"
10k_foundation,running_regularly,3-5,8,14,baseline,10k_regular,base,1,2,0.16,yes,"establish foundation without wasting early weeks","runner already has stable history","support and long-run rhythm are in place"
10k_foundation,running_regularly,3-5,8,14,baseline,10k_regular,aerobic_development,2,2,0.2,yes,"build support volume and durable long run","base established","durability improves"
10k_foundation,running_regularly,3-5,8,14,baseline,10k_regular,progression_rhythm,3,2,0.2,yes,"show visible 10K rhythm or progression work","durability stable","at least one specific 10K motif repeats"
10k_foundation,running_regularly,3-5,8,14,baseline,10k_regular,cutback_recovery,4,1,0.08,yes,"protect freshness before outcome week","after build block","reduced-load week is visible"
10k_foundation,running_regularly,3-5,8,14,baseline,10k_regular,completion,5,1,0.08,yes,"deliver explicit 10K completion or test outcome","specificity already visible","10K endpoint is explicit"
half_marathon_balanced,beginner,3,14,20,moderate,half_beginner_three_day,adaptation,1,2,0.14,yes,"stabilize support rhythm and recovery around long run","runner is conservative half candidate","support rhythm feels repeatable"
half_marathon_balanced,beginner,3,14,20,moderate,half_beginner_three_day,base,2,3,0.2,yes,"build easy and steady durability","adaptation complete","long run becomes routine"
half_marathon_balanced,beginner,3,14,20,moderate,half_beginner_three_day,aerobic_development,3,3,0.2,yes,"extend support duration and long-run confidence","base established","runner absorbs volume and recovery spacing"
half_marathon_balanced,beginner,3,14,20,moderate,half_beginner_three_day,progression_tempo,4,2,0.14,yes,"introduce first moderate half-specific touch","aerobic durability stable","controlled specific work appears"
half_marathon_balanced,beginner,3,14,20,moderate,half_beginner_three_day,cutback_recovery,5,1,0.08,yes,"protect durability before final specificity","after development microcycle","cutback week is visible"
half_marathon_balanced,beginner,3,14,20,moderate,half_beginner_three_day,half_specificity,6,2,0.14,yes,"show threshold-lite or long-run specificity","runner tolerates moderate touch","half-specific marker is visible"
half_marathon_balanced,beginner,3,14,20,moderate,half_beginner_three_day,completion,7,1,0.06,yes,"deliver readiness marker or completion-style endpoint","specificity already visible","half-readiness marker is explicit"
half_marathon_balanced,beginner,4-5,12,18,baseline,half_beginner_fullfreq,base,1,2,0.14,yes,"establish balanced support stack","runner can absorb fuller week","support rhythm stable"
half_marathon_balanced,beginner,4-5,12,18,baseline,half_beginner_fullfreq,aerobic_development,2,3,0.22,yes,"grow long-run and steady support","base established","durability improves"
half_marathon_balanced,beginner,4-5,12,18,baseline,half_beginner_fullfreq,controlled_tempo,3,2,0.14,yes,"add first clear moderate half-specific touch","durability stable","tempo motif appears"
half_marathon_balanced,beginner,4-5,12,18,baseline,half_beginner_fullfreq,threshold_durability,4,2,0.14,yes,"introduce threshold-lite half specificity","controlled tempo tolerated","threshold motif appears"
half_marathon_balanced,beginner,4-5,12,18,baseline,half_beginner_fullfreq,cutback_recovery,5,1,0.08,yes,"reduce fatigue before final push","after specific loading","cutback week is visible"
half_marathon_balanced,beginner,4-5,12,18,baseline,half_beginner_fullfreq,half_specificity,6,1,0.1,yes,"use long-run steady finish or threshold-lite marker","specificity already tolerated","readiness marker is visible"
half_marathon_balanced,beginner,4-5,12,18,baseline,half_beginner_fullfreq,completion,7,1,0.06,yes,"deliver half-readiness endpoint","final specific phase complete","half-readiness marker is explicit"
half_marathon_balanced,running_regularly,2-3,14,20,moderate,half_regular_lowfreq,base,1,3,0.2,yes,"build long-run rhythm and steady support","runner is low-frequency but viable","long-run rhythm is stable"
half_marathon_balanced,running_regularly,2-3,14,20,moderate,half_regular_lowfreq,aerobic_development,2,3,0.22,yes,"extend support duration and control fatigue","base established","runner absorbs longer support work"
half_marathon_balanced,running_regularly,2-3,14,20,moderate,half_regular_lowfreq,half_specificity,3,3,0.18,yes,"alternate progression, tempo, or threshold-lite weeks","durability stable","half-specific motif repeats"
half_marathon_balanced,running_regularly,2-3,14,20,moderate,half_regular_lowfreq,cutback_recovery,4,1,0.08,yes,"reduce fatigue and protect consistency","after specific block","cutback week is visible"
half_marathon_balanced,running_regularly,2-3,14,20,moderate,half_regular_lowfreq,completion,5,1,0.06,yes,"deliver half-readiness endpoint","specificity already visible","half-readiness marker is explicit"
half_marathon_balanced,running_regularly,4-5,10,16,baseline,half_regular_fullfreq,base,1,2,0.14,yes,"start from a balanced support stack","runner already has stable history","support rhythm stable"
half_marathon_balanced,running_regularly,4-5,10,16,baseline,half_regular_fullfreq,aerobic_development,2,2,0.18,yes,"build durable long-run and steady support","base established","durability improves"
half_marathon_balanced,running_regularly,4-5,10,16,baseline,half_regular_fullfreq,controlled_tempo,3,2,0.14,yes,"introduce moderate half-specific load","durability stable","tempo motif appears"
half_marathon_balanced,running_regularly,4-5,10,16,baseline,half_regular_fullfreq,threshold_durability,4,2,0.14,yes,"expand half-specific threshold durability","tempo tolerated","threshold motif appears"
half_marathon_balanced,running_regularly,4-5,10,16,baseline,half_regular_fullfreq,cutback_recovery,5,1,0.08,yes,"reduce fatigue before endpoint weeks","after specific loading","cutback week is visible"
half_marathon_balanced,running_regularly,4-5,10,16,baseline,half_regular_fullfreq,half_specificity,6,1,0.1,yes,"use long-run steady finish or threshold marker","specificity already tolerated","half-readiness marker is visible"
half_marathon_balanced,running_regularly,4-5,10,16,baseline,half_regular_fullfreq,completion,7,1,0.06,yes,"deliver half-readiness endpoint","final specific phase complete","half-readiness marker is explicit"
marathon_base,beginner,3,20,32,high,marathon_beginner_three_day,base,1,4,0.24,yes,"build durable easy support and routine long runs","runner is marathon-base eligible but conservative","support rhythm stable"
marathon_base,beginner,3,20,32,high,marathon_beginner_three_day,aerobic_development,2,4,0.24,yes,"grow aerobic volume without quality overreach","base established","long run and support duration rise safely"
marathon_base,beginner,3,20,32,high,marathon_beginner_three_day,marathon_specificity,3,4,0.22,yes,"introduce marathon-steady durability","durability stable","marathon-specific identity appears"
marathon_base,beginner,3,20,32,high,marathon_beginner_three_day,cutback_recovery,4,1,0.08,yes,"reduce load and protect repeatability","after durability block","cutback week is visible"
marathon_base,beginner,3,20,32,high,marathon_beginner_three_day,long_run_specificity,5,2,0.12,yes,"add steady-finish long-run variety when safe","runner tolerates marathon-steady work","long-run specificity is visible"
marathon_base,beginner,3,20,32,high,marathon_beginner_three_day,base_endpoint,6,1,0.06,yes,"end with explicit durability endpoint","specificity already visible","base endpoint is explicit"
marathon_base,beginner,4-5,16,24,moderate,marathon_beginner_fullfreq,base,1,3,0.18,yes,"build support stack and recovery rhythm","runner can absorb fuller week","support rhythm stable"
marathon_base,beginner,4-5,16,24,moderate,marathon_beginner_fullfreq,aerobic_development,2,4,0.24,yes,"grow easy and steady durability","base established","volume rises safely"
marathon_base,beginner,4-5,16,24,moderate,marathon_beginner_fullfreq,marathon_specificity,3,3,0.18,yes,"introduce marathon-steady specificity","durability stable","marathon-specific identity appears"
marathon_base,beginner,4-5,16,24,moderate,marathon_beginner_fullfreq,cutback_recovery,4,1,0.08,yes,"reduce fatigue before later long-run specificity","after durability block","cutback week is visible"
marathon_base,beginner,4-5,16,24,moderate,marathon_beginner_fullfreq,long_run_specificity,5,2,0.12,yes,"add long-run steady-finish variety when safe","marathon-steady work tolerated","long-run specificity is visible"
marathon_base,beginner,4-5,16,24,moderate,marathon_beginner_fullfreq,base_endpoint,6,1,0.06,yes,"end with explicit durability endpoint","specificity already visible","base endpoint is explicit"
marathon_base,running_regularly,3-5,14,24,baseline,marathon_regular,base,1,3,0.18,yes,"establish durable support rhythm","runner already has stable history","support rhythm stable"
marathon_base,running_regularly,3-5,14,24,baseline,marathon_regular,aerobic_development,2,3,0.2,yes,"grow aerobic volume and long-run confidence","base established","durability improves"
marathon_base,running_regularly,3-5,14,24,baseline,marathon_regular,marathon_specificity,3,3,0.18,yes,"show marathon-steady identity clearly","durability stable","marathon-specific identity repeats"
marathon_base,running_regularly,3-5,14,24,baseline,marathon_regular,cutback_recovery,4,1,0.08,yes,"reduce fatigue before final durability push","after specific loading","cutback week is visible"
marathon_base,running_regularly,3-5,14,24,baseline,marathon_regular,long_run_specificity,5,2,0.12,yes,"use steady-finish long runs conservatively","marathon-steady work tolerated","long-run specificity is visible"
marathon_base,running_regularly,3-5,14,24,baseline,marathon_regular,base_endpoint,6,1,0.06,yes,"end with explicit durability endpoint","specificity already visible","base endpoint is explicit"
10k_foundation,performance_focused,3-5,8,14,baseline,10k_perf_base_only,base,1,2,0.16,yes,"reuse regular 10K base structure under a conservative base-only contract","runner is performance-focused but preset remains conservative","support rhythm stable"
10k_foundation,performance_focused,3-5,8,14,baseline,10k_perf_base_only,aerobic_development,2,2,0.2,yes,"reuse regular 10K aerobic development without promising race sharpening","base established","durability improves"
10k_foundation,performance_focused,3-5,8,14,baseline,10k_perf_base_only,progression_rhythm,3,2,0.2,yes,"show visible development but keep one-touch conservative ceiling","durability stable","10K-specific motif appears"
10k_foundation,performance_focused,3-5,8,14,baseline,10k_perf_base_only,cutback_recovery,4,1,0.08,yes,"reduce fatigue before endpoint","after build block","cutback week is visible"
10k_foundation,performance_focused,3-5,8,14,baseline,10k_perf_base_only,completion,5,1,0.08,yes,"deliver explicit 10K checkpoint or completion marker","specificity already visible","10K endpoint is explicit"
half_marathon_balanced,performance_focused,3-5,10,16,baseline,half_perf_base_only,base,1,2,0.14,yes,"reuse regular half base structure under a conservative base-only contract","runner is performance-focused but preset remains conservative","support rhythm stable"
half_marathon_balanced,performance_focused,3-5,10,16,baseline,half_perf_base_only,aerobic_development,2,2,0.18,yes,"build durable long-run and steady support without a performance claim","base established","durability improves"
half_marathon_balanced,performance_focused,3-5,10,16,baseline,half_perf_base_only,controlled_tempo,3,2,0.14,yes,"allow one moderate half-specific touch while keeping base-only framing","durability stable","tempo motif appears"
half_marathon_balanced,performance_focused,3-5,10,16,baseline,half_perf_base_only,threshold_durability,4,2,0.14,yes,"expand half-specific durability conservatively","tempo tolerated","threshold motif appears"
half_marathon_balanced,performance_focused,3-5,10,16,baseline,half_perf_base_only,cutback_recovery,5,1,0.08,yes,"reduce fatigue before endpoint","after specific loading","cutback week is visible"
half_marathon_balanced,performance_focused,3-5,10,16,baseline,half_perf_base_only,half_specificity,6,1,0.1,yes,"use long-run steady finish or readiness marker conservatively","specificity already tolerated","half-readiness marker is visible"
half_marathon_balanced,performance_focused,3-5,10,16,baseline,half_perf_base_only,completion,7,1,0.06,yes,"deliver half-readiness endpoint","final specific phase complete","half-readiness marker is explicit"
