identity,segment_sequence,segment_type,label_pattern,prescription_mode,duration_or_distance_rule,repeat_rule,recovery_rule,target_mode,target_intensity,pace_allowed,hr_allowed,benchmark_required,runner_cue,safety_note
recovery_jog,1,warmup,"easy warm start",duration,"5-10 min",none,none,structure_only_executable,very_easy,no,no,no,"start loose and settle in","must stay softer than easy aerobic run"
recovery_jog,2,main,"very relaxed jogging",duration,"15-40 min",none,none,structure_only_executable,very_easy,no,no,no,"keep the stride quiet and relaxed","do not turn into steady running"
recovery_jog,3,cooldown,"easy settle-down",duration,"3-5 min",none,none,structure_only_executable,very_easy,no,no,no,"finish fresher than you started","walk breaks remain acceptable when needed"
easy_aerobic_run,1,warmup,"easy warm start",duration,"5-10 min",none,none,structure_only_executable_or_pace_executable,easy,benchmark_only,personal_zones_only,no_for_plan,"find an easy rhythm quickly","no fake pace if truth is missing"
easy_aerobic_run,2,main,"main aerobic block",duration_or_distance,"20-75 min or family-scaled easy distance",none,none,structure_only_executable_or_pace_executable,easy,benchmark_only,personal_zones_only,no_for_plan,"keep this repeatable, not ambitious","must remain support work"
easy_aerobic_run,3,finish,"easy settle-down",duration,"5 min",none,none,structure_only_executable_or_pace_executable,easy,benchmark_only,personal_zones_only,no_for_plan,"finish smooth and in control","optional resets must not change identity"
easy_run_with_strides,1,warmup,"easy warmup",duration,"10-15 min",none,none,structure_only_executable_or_pace_executable,easy,benchmark_only,personal_zones_only,no_for_plan,"stay relaxed before the quick work","easy portion stays easy"
easy_run_with_strides,2,repeat,"relaxed quick stride",duration_with_repeats,"15-20 sec stride",4_to_8_repeats,"40-75 sec easy jog between strides",structure_only_executable,controlled_quick,no,no,no,"quick feet, relaxed posture, never sprint","strides add pop, not fatigue"
easy_run_with_strides,3,main,"easy aerobic running",duration,"10-25 min",none,none,structure_only_executable_or_pace_executable,easy,benchmark_only,personal_zones_only,no_for_plan,"settle back into easy rhythm","if fatigue rises, cut stride count first"
easy_run_with_strides,4,cooldown,"cooldown",duration,"5-10 min",none,none,structure_only_executable_or_pace_executable,easy,benchmark_only,personal_zones_only,no_for_plan,"finish calm and light","keep total load low"
steady_aerobic_run,1,warmup,"easy warmup",duration,"10 min",none,none,structure_only_executable_or_pace_executable,easy,benchmark_only,personal_zones_only,no_for_plan,"arrive patient and smooth","must not start hard"
steady_aerobic_run,2,main,"steady aerobic block",duration,"20-50 min",none,none,structure_only_executable_or_pace_executable,steady,benchmark_only,personal_zones_only,no_for_plan,"comfortably firm, never threshold-like","not allowed as disguised quality after long run"
steady_aerobic_run,3,cooldown,"short cooldown",duration,"5-10 min",none,none,structure_only_executable_or_pace_executable,easy,benchmark_only,personal_zones_only,no_for_plan,"let the effort come back down","drop steady duration before changing week density"
progression_run,1,warmup,"easy warmup",duration,"10-15 min",none,none,structure_only_executable_or_pace_executable,easy,benchmark_only,personal_zones_only,no_for_plan,"open up gradually","do not rush early blocks"
progression_run,2,main,"first controlled block",duration,"10-20 min",none,none,structure_only_executable_or_pace_executable,easy_to_steady,benchmark_only,personal_zones_only,no_for_plan,"build smoothly from easy","first rise should feel modest"
progression_run,3,main,"second controlled block",duration,"10-20 min",none,none,structure_only_executable_or_pace_executable,steady_to_moderate,benchmark_only,personal_zones_only,no_for_plan,"lift a little, stay controlled","this is not a race finish"
progression_run,4,cooldown,"cooldown",duration,"5-10 min",none,none,structure_only_executable_or_pace_executable,easy,benchmark_only,personal_zones_only,no_for_plan,"finish composed","cut the final lift first if too much"
controlled_tempo_session,1,warmup,"easy warmup",duration,"12-20 min",none,none,structure_only_executable_or_pace_executable,easy,benchmark_only,personal_zones_only,no_for_plan,"get ready without forcing pace","full pace truth is optional, not required"
controlled_tempo_session,2,repeat,"controlled tempo block",duration_with_repeats,"6-12 min tempo block",2_to_3_repeats,"2-3 min easy jog",structure_only_executable_or_pace_executable,controlled_tempo,benchmark_only,personal_zones_only,pace_requires_benchmark,"comfortably hard but still smooth","if this feels like a race, it is too hard"
controlled_tempo_session,3,settle,"easy settle",duration,"5 min",none,none,structure_only_executable,easy,no,no,no,"reset before cooldown","optional if workout stays compact"
controlled_tempo_session,4,cooldown,"cooldown",duration,"8-12 min",none,none,structure_only_executable_or_pace_executable,easy,benchmark_only,personal_zones_only,no_for_plan,"bring effort down gradually","drop a rep before increasing recoveries"
time_intervals,1,warmup,"easy warmup",duration,"12-20 min",none,none,structure_only_executable_or_pace_executable,easy,benchmark_only,personal_zones_only,no_for_plan,"prepare fully before repeats","do not start the first rep too fast"
time_intervals,2,repeat,"work rep",duration_with_repeats,"1-3 min work rep",4_to_8_repeats,"1-2 min easy jog",structure_only_executable_or_pace_executable,moderate_to_10k_like,benchmark_only,no,pace_requires_benchmark,"controlled quick rhythm, not all-out","repeat count scales before speed does"
time_intervals,3,settle,"easy settle",duration,"5-10 min",none,none,structure_only_executable,easy,no,no,no,"regain a smooth stride","if strained, cut reps next time"
time_intervals,4,cooldown,"cooldown",duration,"8-12 min",none,none,structure_only_executable_or_pace_executable,easy,benchmark_only,personal_zones_only,no_for_plan,"finish calm","do not pair with another specific touch"
10k_rhythm_intervals,1,warmup,"easy warmup",duration,"15-20 min",none,none,structure_only_executable_or_pace_executable,easy,benchmark_only,personal_zones_only,no_for_plan,"arrive patient before rhythm work","needs prior support base"
10k_rhythm_intervals,2,repeat,"10K rhythm rep",duration_with_repeats,"3-5 min rhythm rep",4_to_6_repeats,"90 sec-2 min easy jog",structure_only_executable_or_pace_executable,controlled_10k_rhythm,benchmark_only,no,pace_requires_benchmark,"repeat a calm strong rhythm","must not become track-style overreach"
10k_rhythm_intervals,3,cooldown,"cooldown",duration,"10 min",none,none,structure_only_executable_or_pace_executable,easy,benchmark_only,personal_zones_only,no_for_plan,"finish under control","not for same week as final 10K endpoint"
half_marathon_threshold_durability,1,warmup,"easy warmup",duration,"15-20 min",none,none,structure_only_executable_or_pace_executable,easy,benchmark_only,personal_zones_only,no_for_plan,"arrive patient and prepared","needs prior progression or tempo support"
half_marathon_threshold_durability,2,repeat,"threshold durability block",duration_with_repeats,"8-15 min block or 20-30 min sustained block",1_to_3_blocks,"2-4 min easy jog when split",structure_only_executable_or_pace_executable,threshold_like_controlled,benchmark_only,personal_zones_only,pace_requires_benchmark,"strong and smooth, never straining","must not coexist with another hard specific touch"
half_marathon_threshold_durability,3,cooldown,"cooldown",duration,"10-12 min",none,none,structure_only_executable_or_pace_executable,easy,benchmark_only,personal_zones_only,no_for_plan,"bring the effort back down gradually","reduce block duration before adding complexity"
marathon_steady_specificity,1,warmup,"easy warmup",duration,"10-15 min",none,none,structure_only_executable_or_pace_executable,easy,benchmark_only,personal_zones_only,no_for_plan,"set up a calm durable rhythm","do not start at steady effort"
marathon_steady_specificity,2,main,"marathon-steady block",duration,"25-60 min",none,none,structure_only_executable_or_pace_executable,steady_plus,benchmark_only,personal_zones_only,pace_requires_benchmark,"durable and controlled, not race-pressed","must stay clearly sub-peak"
marathon_steady_specificity,3,cooldown,"cooldown",duration,"5-10 min",none,none,structure_only_executable_or_pace_executable,easy,benchmark_only,personal_zones_only,no_for_plan,"finish composed","not allowed day after long run in low-support variants"
long_aerobic_run,1,warmup,"easy warm start",duration,"10-15 min",none,none,structure_only_executable_or_pace_executable,easy,benchmark_only,personal_zones_only,no_for_plan,"start patient and relaxed","no fake long-run pace targets"
long_aerobic_run,2,main,"main long aerobic block",duration_or_distance,"family-scaled long duration or long easy distance",none,none,structure_only_executable_or_pace_executable,easy,benchmark_only,personal_zones_only,no_for_plan,"stay sustainable and conversational","long run needs visible purpose note"
long_aerobic_run,3,checkpoint,"fueling or composure checkpoint",duration,"brief mid-run cue when long enough",none,none,structure_only_executable,easy,no,no,no,"stay smooth and patient through the middle","checkpoint cue cannot replace numeric structure"
long_aerobic_run,4,finish,"easy finish",duration,"5-10 min",none,none,structure_only_executable_or_pace_executable,easy,benchmark_only,personal_zones_only,no_for_plan,"finish controlled","long runs should not end with random surges"
long_run_with_steady_finish,1,warmup,"easy warm start",duration,"10-15 min",none,none,structure_only_executable_or_pace_executable,easy,benchmark_only,personal_zones_only,no_for_plan,"save energy for the finish segment","do not force early pace"
long_run_with_steady_finish,2,main,"easy long base",duration,"family-scaled easy long block",none,none,structure_only_executable_or_pace_executable,easy,benchmark_only,personal_zones_only,no_for_plan,"stay patient through the early volume","this is still a long run first"
long_run_with_steady_finish,3,finish_block,"controlled steady finish",duration,"10-30 min",none,none,structure_only_executable_or_pace_executable,steady,benchmark_only,personal_zones_only,pace_requires_benchmark,"finish stronger but still controlled","counts as the week's specific touch"
long_run_with_steady_finish,4,finish,"easy settle",duration,"3-5 min",none,none,structure_only_executable,easy,no,no,no,"downshift before stopping","shorten finish block before total long-run duration"
cutback_long_run,1,warmup,"easy warm start",duration,"10 min",none,none,structure_only_executable_or_pace_executable,easy,benchmark_only,personal_zones_only,no_for_plan,"treat this as a lighter week","must feel easier than prior peak week"
cutback_long_run,2,main,"reduced long aerobic block",duration_or_distance,"60-80 percent of recent peak long load",none,none,structure_only_executable_or_pace_executable,easy,benchmark_only,personal_zones_only,no_for_plan,"absorb the work, do not add ambition","never a stealth progression week"
cutback_long_run,3,finish,"easy finish",duration,"5 min",none,none,structure_only_executable,easy,no,no,no,"finish fresh enough to restart the next block","cannot double as final outcome marker"
tenk_completion_or_checkpoint,1,warmup,"easy warmup",duration,"10-15 min",none,none,structure_only_executable_or_pace_executable,easy,benchmark_only,personal_zones_only,no_for_plan,"start calm and give yourself room to settle","endpoint must not start aggressively"
tenk_completion_or_checkpoint,2,main,"10K completion or checkpoint block",distance_or_duration,"8-10K continuous or family-safe continuous checkpoint duration",none,none,structure_only_executable_or_pace_executable,controlled_completion,benchmark_only,personal_zones_only,pace_requires_benchmark,"run the planned distance or checkpoint honestly and evenly","this is a completion marker, not a target-time race"
tenk_completion_or_checkpoint,3,finish,"easy settle",duration,"3-5 min",none,none,structure_only_executable,easy,no,no,no,"downshift before stopping","endpoint still needs a clean finish row"
tenk_completion_or_checkpoint,4,cooldown,"cooldown",duration,"5-10 min",none,none,structure_only_executable_or_pace_executable,easy,benchmark_only,personal_zones_only,no_for_plan,"finish controlled and confident","cooldown may be shortened only for true endpoint event behavior"
half_readiness_marker,1,warmup,"easy warmup",duration,"10-15 min",none,none,structure_only_executable_or_pace_executable,easy,benchmark_only,personal_zones_only,no_for_plan,"arrive patient and smooth","this is not a peak race simulation"
half_readiness_marker,2,main,"easy or steady base block",duration,"20-40 min",none,none,structure_only_executable_or_pace_executable,easy_to_steady,benchmark_only,personal_zones_only,no_for_plan,"build into the session calmly","base section should feel controlled"
half_readiness_marker,3,main,"readiness marker block",duration,"10-25 min",none,none,structure_only_executable_or_pace_executable,controlled_half_specific,benchmark_only,personal_zones_only,pace_requires_benchmark,"finish with calm half-specific intent, not a race press","marker should confirm readiness, not create extra fatigue"
half_readiness_marker,4,cooldown,"cooldown",duration,"5-10 min",none,none,structure_only_executable_or_pace_executable,easy,benchmark_only,personal_zones_only,no_for_plan,"bring effort down smoothly","keep the endpoint confidence-building"
base_endpoint_marker,1,warmup,"easy warmup",duration,"10-15 min",none,none,structure_only_executable_or_pace_executable,easy,benchmark_only,personal_zones_only,no_for_plan,"start patient and economical","do not imitate taper or peak-race nerves"
base_endpoint_marker,2,main,"durable base block",duration,"30-60 min or shorter specific long expression",none,none,structure_only_executable_or_pace_executable,steady_plus,benchmark_only,personal_zones_only,pace_requires_benchmark,"show durable marathon composure without forcing pace","this is a base endpoint, not a marathon race-pace run"
base_endpoint_marker,3,settle,"easy settle",duration,"3-5 min",none,none,structure_only_executable,easy,no,no,no,"downshift before finishing","optional only if endpoint format already contains a smooth finish"
base_endpoint_marker,4,cooldown,"cooldown",duration,"5-10 min",none,none,structure_only_executable_or_pace_executable,easy,benchmark_only,personal_zones_only,no_for_plan,"finish calm and durable","must not imply peak readiness"
