workout_identity,workout_family,primary_use_families,runner_levels,goal_purpose,default_structure_type,segment_1,segment_2,segment_3,segment_4,segment_5,repeats_or_progression,target_mode_when_no_truth,target_mode_when_pace_truth_exists,target_mode_when_hr_truth_exists,cutback_variant_rule,taper_variant_rule,forbidden_use,notes
recovery_jog,recovery,"10k_foundation;half_marathon_balanced;marathon_base","new_to_running;beginner;running_regularly;performance_focused","post-load recovery and frequency support",simple_support,"easy warm start 5-10 min","very relaxed jog 15-40 min","optional walk resets 30-60 sec when needed","easy settle-down 3-5 min","mobility note optional","none","structure_only_executable","pace_executable only for capped easy band if benchmark-backed","hr_executable only from personal zones","shorten main block before deleting entirely","keep but shorten to preserve rhythm","day-after-long-run intensity; disguised steady work","Must feel clearly easier than easy aerobic run."
easy_aerobic_run,easy,"10k_foundation;half_marathon_balanced;marathon_base","new_to_running;beginner;running_regularly;performance_focused","aerobic support and repeatable volume",simple_support,"easy warm start 5-10 min","main aerobic block 20-75 min","optional light form reset 2-4 x 20 sec","easy settle-down 5 min","mobility note optional","none","structure_only_executable","pace_executable only when benchmark-backed","hr_executable only from personal zones","shorten duration by 15-30 percent","shorten duration and remove optional resets","hidden moderate intensity; fake race-pace cueing","Default support run; not the main specific stimulus."
easy_run_with_strides,easy,"10k_foundation;half_marathon_balanced;marathon_base","new_to_running;beginner;running_regularly;performance_focused","light neuromuscular stimulus without true quality load",strides_support,"easy warmup 10-15 min","4-8 x 15-20 sec relaxed quick strides","easy jog 40-75 sec between strides","easy aerobic running 10-25 min","cooldown 5-10 min","stride count scales by level and phase","structure_only_executable","pace_executable only for easy portions; strides remain effort-form based","hr targets optional only for easy portions with personal zones","drop stride count first","use 4-6 short strides only if included at all","long interval substitutions; all-out sprinting","Preferred early variety before intervals."
steady_aerobic_run,steady,"half_marathon_balanced;marathon_base","beginner;running_regularly;performance_focused","moderate support durability below true quality threshold",steady_support,"easy warmup 10 min","steady aerobic block 20-50 min","easy reset 3-5 min if needed","short cooldown 5-10 min","form cue optional","continuous or split 2 x steady block for beginners","structure_only_executable","pace_executable when benchmark-backed and below threshold","hr_executable only from personal zones","shorten steady block first","replace with easy aerobic if taper week is light","day-after-long-run use for low-support; disguised tempo","Support-specific, not a quality badge by itself."
cutback_aerobic_run,cutback,"10k_foundation;half_marathon_balanced;marathon_base","new_to_running;beginner;running_regularly;performance_focused","lower-load aerobic maintenance in cutback weeks",cutback_support,"easy warm start 5-10 min","reduced aerobic block 15-50 min","optional gentle form reminders","easy finish 5 min","none","reduce normal support-day volume by about 20-35 percent","structure_only_executable","pace_executable only if standard easy truth exists","hr_executable only from personal zones","this is already the cutback variant","keep shorter than normal support runs","used as hidden quality; used to compensate for overloaded week","Must look visibly lighter than neighboring weeks."
progression_run,progression,"10k_foundation;half_marathon_balanced","beginner;running_regularly;performance_focused","controlled moderate stimulus through rising effort",progression,"easy warmup 10-15 min","first controlled aerobic block 10-20 min","second moderate block 10-20 min","optional final short controlled lift 5-10 min","cooldown 5-10 min","2-step or 3-step progression by level","structure_only_executable","pace_executable only if steps map to trusted current fitness","hr_executable only from personal zones and only as support","cut middle or final lift first","shorten to 2-step light version or replace with easy strides","all-out finish; race-pace claims from target time alone","Good first quality touch before intervals."
controlled_tempo_session,tempo,"10k_foundation;half_marathon_balanced;marathon_base","beginner;running_regularly;performance_focused","controlled sub-threshold development without aggressive density",tempo_blocks,"easy warmup 12-20 min","2-3 x controlled tempo block 6-12 min","easy jog recovery 2-3 min","optional short steady settle 5 min","cooldown 8-12 min","block count scales by support and phase","structure_only_executable","pace_executable only from recent benchmark truth","hr_executable only from personal zones and secondary to pace","drop one rep or shorten reps","convert to lighter tuneup/steady blend if late taper","VO2-style intensity; pace from ambition alone","Half-specific and richer 10K/Marathon support when safe."
time_intervals,intervals,"10k_foundation","beginner;running_regularly;performance_focused","introductory repeat structure when support allows",repeat_intervals,"easy warmup 12-20 min","4-8 x work rep 1-3 min","easy jog recovery 1-2 min","easy aerobic settle 5-10 min","cooldown 8-12 min","repeat count scaled conservatively","structure_only_executable","pace_executable only from recent benchmark truth","hr not primary for short reps","reduce repeat count before removing entire session","replace with strides or progression in taper","beginner default; marathon default; fake exact rep pace","Used only when support is strong enough."
10k_rhythm_intervals,intervals,"10k_foundation","running_regularly;performance_focused;strong_beginner_late","10K-specific rhythm and repeatable controlled turnover",repeat_intervals,"easy warmup 15-20 min","4-6 x 3-5 min rhythm rep","easy jog recovery 90 sec-2 min","optional easy settle 5-8 min","cooldown 10 min","repeat count and rep length vary by phase","structure_only_executable","pace_executable only from recent benchmark truth","hr secondary only for recovery/easy parts","cut one rep and protect recoveries","replace with short tuneup or strides if late taper block exists","used without prior support build; used in half or marathon presets as primary language","Must stay controlled, not track-race style."
half_marathon_threshold_durability,threshold,"half_marathon_balanced","beginner_late;running_regularly;performance_focused","half-specific sustained threshold durability",threshold_durability,"easy warmup 15-20 min","2-3 x threshold block 8-15 min or 1 sustained block 20-30 min","easy jog recovery 2-4 min when split","optional easy settle 5 min","cooldown 10-12 min","split vs sustained depends on support","structure_only_executable","pace_executable only from trusted benchmark truth","hr_executable only from personal zones and only supportive","reduce block duration before removing session","convert to lighter controlled tempo or tuneup","early-beginner default; marathon preset primary language; fake half-race pace","This is the key half-specific identity."
marathon_steady_specificity,steady,"marathon_base","beginner;running_regularly;performance_focused","marathon-specific aerobic durability without fake race intensity",steady_specificity,"easy warmup 10-15 min","main steady durability block 25-60 min","optional short easy reset 3-5 min","brief steady re-engage 5-10 min when split","cooldown 5-10 min","continuous for stronger runners; split for conservative cases","structure_only_executable","pace_executable only with trusted benchmark and conservative mapping","hr_executable only from personal zones and not age-estimated","shorten main steady block","trim re-engage and total duration","used as day-after-long-run for low-support; turned into race-pace claim","Must read distinct from generic steady filler."
long_aerobic_run,long,"10k_foundation;half_marathon_balanced;marathon_base","new_to_running;beginner;running_regularly;performance_focused","durable long easy volume with explicit purpose",long_easy,"easy warm start 10-15 min","main long aerobic block 40-180 min depending family","optional fueling reminder checkpoint","easy finish 5-10 min","post-run recovery cue optional","continuous duration growth by phase","structure_only_executable","pace_executable only for conservative easy band if truth exists","hr_executable only from personal zones and advisory for drift control","reduce duration by 15-30 percent in cutback weeks","short taper-long variant replaces it in taper","anonymous long filler; long-run day without purpose note","Every long run needs intent notes such as durability, time-on-feet, fueling, or composure."
long_run_with_steady_finish,long_run_specialty,"half_marathon_balanced;marathon_base","beginner_late;running_regularly;performance_focused","specific long-run finish control without full second quality load",long_finish_specificity,"easy warm start 10-15 min","main easy long block","controlled steady finish block 10-30 min","easy settle 3-5 min if needed","post-run recovery cue optional","finish length scales with family and phase","structure_only_executable","pace_executable only if finish intensity has trusted mapping","hr_executable only from personal zones and secondary","shorten finish block before shortening total duration","replace with simpler long aerobic run or taper long run","used too early; used in same week as another hard specific session","Counts as the week's main specific stimulus in conservative marathon weeks."
cutback_long_run,cutback,"10k_foundation;half_marathon_balanced;marathon_base","new_to_running;beginner;running_regularly;performance_focused","recovery-protective long-run reduction",cutback_long,"easy warm start 10 min","reduced long aerobic block 60-80 percent of previous peak","optional fueling reminder","easy finish 5 min","none","volume reduction only; not a stealth workout","structure_only_executable","pace_executable only if normal long easy truth exists","hr_executable only from personal zones","this is already the cutback variant","may transition into taper_long_run later","used as hidden progression or steady-finish day","Must feel meaningfully easier than the prior long-run peak."
taper_tuneup_run,taper,"10k_foundation;half_marathon_balanced;marathon_base","beginner;running_regularly;performance_focused","light sharpening and rhythm retention near endpoint",taper_tuneup,"easy warmup 10-15 min","short controlled pickup set or 4-6 short reps","easy jog recoveries 60-90 sec","easy settle 8-12 min","cooldown 5-10 min","low total load only","structure_only_executable","pace_executable only when a trusted benchmark exists and targets stay conservative","hr not primary","not used in cutback block","this is already taper-specific","mid-cycle overload; hard-interval disguise","Must stay light and confidence-building."
taper_long_run,taper,"half_marathon_balanced;marathon_base","beginner;running_regularly;performance_focused","reduced long-run rhythm during taper",taper_long,"easy warm start 10 min","reduced long aerobic block 50-75 percent of recent long run","optional short steady touch only if doctrine allows","easy finish 5 min","none","sharply reduced volume relative to peak","structure_only_executable","pace_executable only for conservative easy portions","hr_executable only from personal zones","not used in cutback block","this is already taper-specific","late overload; steady-finish extension that recreates fatigue","Must preserve confidence, not create new fatigue."
tenk_completion_or_checkpoint,race,"10k_foundation","new_to_running;beginner;running_regularly;performance_focused","explicit 10K completion or checkpoint outcome for preset endpoint",completion_marker,"easy warmup 10-15 min","10K completion block or family-safe checkpoint block","optional easy settle 3-5 min","cooldown 5-10 min","review metadata note required","continuous endpoint or checkpoint expression depending support","structure_only_executable","pace_executable only when benchmark truth exists and pace claims stay conservative","hr_executable only from personal zones","not used in cutback block","not used before final completion block","mid-plan filler; fake race-pace promise","This is the canonical final 10K outcome identity."
half_readiness_marker,race,"half_marathon_balanced","beginner;running_regularly;performance_focused","explicit half-readiness endpoint without target-time overclaim",readiness_marker,"easy warmup 10-15 min","easy or steady base block","controlled readiness block","cooldown 5-10 min","review metadata note required","single combined endpoint expression","structure_only_executable","pace_executable only when benchmark truth exists and pace claims stay conservative","hr_executable only from personal zones","not used in cutback block","not used before final completion block","generic support endpoint; race-pace overclaim","This is the canonical final Half outcome identity."
base_endpoint_marker,race,"marathon_base","beginner;running_regularly;performance_focused","explicit marathon durability base endpoint without peak-race implication",base_endpoint,"easy warmup 10-15 min","durable base block or shorter specific long block","easy settle 3-5 min","cooldown 5-10 min","review metadata note required","single combined endpoint expression","structure_only_executable","pace_executable only when benchmark truth exists and pace claims stay conservative","hr_executable only from personal zones","not used in cutback block","not used before final base endpoint block","fake taper peak; race-readiness implication","This is the canonical final Marathon Base outcome identity."
